date,y_test,y_pred,label,predicted_label
2020-06-23,40.29999923706054,39.7326990847667,Actual,Predicted
2020-06-24,41.0,40.98048804506054,Actual,Predicted
2020-06-25,36.75,37.624771912476966,Actual,Predicted
2020-06-26,36.95000076293945,37.00859615740716,Actual,Predicted
2020-06-29,36.0,36.44738643612834,Actual,Predicted
2020-06-30,36.25,36.39350887475041,Actual,Predicted
2020-07-01,36.09999847412109,35.288869862122,Actual,Predicted
2020-07-02,36.400001525878906,36.71813968930851,Actual,Predicted
2020-07-06,35.650001525878906,36.53457067440421,Actual,Predicted
2020-07-07,35.5,36.02171484730061,Actual,Predicted
2020-07-08,35.54999923706054,35.76383630621186,Actual,Predicted
2020-07-09,34.79999923706055,35.81093201172709,Actual,Predicted
2020-07-10,35.25,35.207392667259015,Actual,Predicted
2020-07-13,35.849998474121094,36.36550187928343,Actual,Predicted
2020-07-14,38.20000076293946,36.41222324488006,Actual,Predicted
2020-07-15,38.34999847412109,38.627452829678646,Actual,Predicted
2020-07-16,35.75,36.52730039680788,Actual,Predicted
2020-07-17,36.0,35.352822448720765,Actual,Predicted
2020-07-20,37.50000000000001,37.46227166517875,Actual,Predicted
2020-07-21,40.650001525878906,38.60817839826379,Actual,Predicted
2020-07-22,41.70000076293945,40.633158350098434,Actual,Predicted
2020-07-23,37.09999847412109,37.13269939734505,Actual,Predicted
2020-07-24,36.70000076293945,37.490541049256514,Actual,Predicted
2020-07-27,36.79999923706055,37.92997300540789,Actual,Predicted
2020-07-28,35.29999923706055,35.9858917712285,Actual,Predicted
2020-07-29,34.900001525878906,35.457060133406785,Actual,Predicted
2020-07-30,34.900001525878906,34.98407819958775,Actual,Predicted
2020-07-31,34.349998474121094,34.649807379742775,Actual,Predicted
2020-08-03,33.29999923706055,34.252207758546405,Actual,Predicted
2020-08-04,36.09999847412109,33.809870419183355,Actual,Predicted
2020-08-05,36.54999923706055,36.88251742783968,Actual,Predicted
2020-08-06,34.599998474121094,35.16051597721331,Actual,Predicted
2020-08-07,34.75,34.236966854540206,Actual,Predicted
2020-08-10,34.25,34.780340570339675,Actual,Predicted
2020-08-11,34.79999923706055,34.48221120317443,Actual,Predicted
2020-08-12,34.29999923706055,34.79606606990752,Actual,Predicted
2020-08-13,34.150001525878906,34.45865287458369,Actual,Predicted
2020-08-14,34.099998474121094,34.60268920004679,Actual,Predicted
2020-08-17,33.400001525878906,33.7933017905918,Actual,Predicted
2020-08-18,34.650001525878906,33.73148796080128,Actual,Predicted
2020-08-19,34.29999923706055,34.794596400090434,Actual,Predicted
2020-08-20,35.599998474121094,33.77856445293697,Actual,Predicted
2020-08-21,35.650001525878906,35.46778956683674,Actual,Predicted
2020-08-24,35.599998474121094,35.80081320934385,Actual,Predicted
2020-08-25,34.150001525878906,34.861130831000075,Actual,Predicted
2020-08-26,35.20000076293945,34.478659636177895,Actual,Predicted
2020-08-27,34.75,35.01803782121051,Actual,Predicted
2020-08-28,34.5,35.08249035309756,Actual,Predicted
2020-08-31,34.150001525878906,34.54642181022555,Actual,Predicted
2020-09-01,31.950000762939453,32.973411140192304,Actual,Predicted
2020-09-02,32.79999923706055,32.261618221988236,Actual,Predicted
2020-09-03,33.20000076293945,33.086701340607476,Actual,Predicted
2020-09-04,32.25,31.483943665816106,Actual,Predicted
2020-09-07,30.700000762939453,31.12489911674499,Actual,Predicted
2020-09-08,31.100000381469723,30.945469384419848,Actual,Predicted
2020-09-09,30.200000762939453,30.455472594023515,Actual,Predicted
2020-09-10,31.450000762939453,30.442447037523916,Actual,Predicted
2020-09-11,31.200000762939453,31.470741576410813,Actual,Predicted
2020-09-14,31.799999237060547,31.337489904593188,Actual,Predicted
2020-09-15,31.799999237060547,31.96453048012255,Actual,Predicted
2020-09-16,31.75,32.178036690243204,Actual,Predicted
2020-09-17,32.5,31.3198011916764,Actual,Predicted
2020-09-18,33.20000076293945,32.81053187069214,Actual,Predicted
2020-09-21,32.5,32.704414677699404,Actual,Predicted
2020-09-22,30.049999237060547,30.771765450928335,Actual,Predicted
2020-09-23,30.350000381469727,30.360111805903394,Actual,Predicted
2020-09-24,29.049999237060547,30.025257846798038,Actual,Predicted
2020-09-25,29.25,29.08471758912221,Actual,Predicted
2020-09-28,29.499999999999996,29.561498392441013,Actual,Predicted
2020-09-29,29.200000762939453,29.62889284179735,Actual,Predicted
2020-09-30,28.799999237060547,29.291335282326454,Actual,Predicted
2020-10-01,29.200000762939453,29.288929075751128,Actual,Predicted
2020-10-05,31.600000381469727,29.29618265577896,Actual,Predicted
2020-10-06,32.650001525878906,32.197846740756,Actual,Predicted
2020-10-07,32.400001525878906,33.11122605501197,Actual,Predicted
2020-10-08,31.700000762939453,31.440765939214135,Actual,Predicted
2020-10-09,30.5,31.019023181021655,Actual,Predicted
2020-10-12,31.29999923706055,30.90226832344317,Actual,Predicted
2020-10-13,30.549999237060547,30.651061669121596,Actual,Predicted
2020-10-14,29.950000762939453,30.558273829599926,Actual,Predicted
2020-10-15,29.85000038146973,30.38611505922172,Actual,Predicted
2020-10-16,29.35000038146973,29.51069185776607,Actual,Predicted
2020-10-19,29.0,29.359420716721107,Actual,Predicted
2020-10-20,28.549999237060547,28.48464686227032,Actual,Predicted
2020-10-21,28.549999237060547,28.42909711903435,Actual,Predicted
2020-10-22,29.649999618530277,28.53704797658834,Actual,Predicted
2020-10-23,30.64999961853028,29.839806636977016,Actual,Predicted
2020-10-26,30.549999237060543,30.696627206502676,Actual,Predicted
2020-10-27,30.200000762939453,30.388772316505534,Actual,Predicted
