date,y_test,y_pred,label,predicted_label
2020-06-23,837.4999999999999,841.2015332949351,Actual,Predicted
2020-06-24,836.75,853.109688019391,Actual,Predicted
2020-06-25,842.5000000000001,836.2972504080377,Actual,Predicted
2020-06-26,854.5750122070312,847.7572282475275,Actual,Predicted
2020-06-29,853.7999877929688,858.1000842089375,Actual,Predicted
2020-06-30,859.0,846.7458701550579,Actual,Predicted
2020-07-01,842.0750122070312,838.8940487634873,Actual,Predicted
2020-07-02,841.9749755859375,830.2746784282892,Actual,Predicted
2020-07-03,844.2500000000001,840.7408658748275,Actual,Predicted
2020-07-06,854.5250244140625,844.4163484423717,Actual,Predicted
2020-07-07,844.4500122070314,851.5193925158256,Actual,Predicted
2020-07-08,826.9000244140625,832.9794889435974,Actual,Predicted
2020-07-09,830.0,830.267782533828,Actual,Predicted
2020-07-10,834.125,836.9758328395785,Actual,Predicted
2020-07-13,838.0499877929688,849.3551039826143,Actual,Predicted
2020-07-14,831.6500244140625,824.8615793666303,Actual,Predicted
2020-07-15,833.2750244140625,833.6732554341627,Actual,Predicted
2020-07-16,898.5250244140625,838.3042802072496,Actual,Predicted
2020-07-17,921.8499755859376,922.2457787450678,Actual,Predicted
2020-07-20,914.9000244140624,912.1398866236407,Actual,Predicted
2020-07-21,895.4249877929688,904.0110420900392,Actual,Predicted
2020-07-22,894.0000000000001,885.5309461067654,Actual,Predicted
2020-07-23,899.9999999999999,890.1545653319652,Actual,Predicted
2020-07-24,898.0000000000001,905.5126742361911,Actual,Predicted
2020-07-27,893.4749755859376,891.4227507965289,Actual,Predicted
2020-07-28,879.0,867.2306592663903,Actual,Predicted
2020-07-29,893.875,866.7122889719844,Actual,Predicted
2020-07-30,921.4999999999999,909.1711008208082,Actual,Predicted
2020-07-31,951.2999877929689,888.3743525887579,Actual,Predicted
2020-08-03,1016.4500122070312,966.6778824440981,Actual,Predicted
2020-08-04,998.4999999999999,959.1659295259733,Actual,Predicted
2020-08-05,1010.0,1032.3349629634597,Actual,Predicted
2020-08-06,1004.9999999999999,1003.1284124162039,Actual,Predicted
2020-08-07,999.3499755859375,1008.905795857221,Actual,Predicted
2020-08-10,1087.5,974.2166752053311,Actual,Predicted
2020-08-11,1077.5250244140625,1074.7414012643908,Actual,Predicted
2020-08-12,1016.6500244140624,1005.2719683923093,Actual,Predicted
2020-08-13,1019.4999999999999,1021.9563690511712,Actual,Predicted
2020-08-14,1013.8750000000001,1022.9104816908479,Actual,Predicted
2020-08-17,1021.5,1021.9242832541923,Actual,Predicted
2020-08-18,1034.0,1017.6097634004403,Actual,Predicted
2020-08-19,1016.7999877929688,1016.4972075193856,Actual,Predicted
2020-08-20,1022.1749877929688,1016.8217257751523,Actual,Predicted
2020-08-21,1023.7000122070312,1046.518082649019,Actual,Predicted
2020-08-24,1012.0750122070314,1014.456300468256,Actual,Predicted
2020-08-25,1047.4000244140625,1011.0003355278008,Actual,Predicted
2020-08-26,1025.574951171875,1037.2613774389904,Actual,Predicted
2020-08-27,1018.0,1010.7117598342252,Actual,Predicted
2020-08-28,1014.0,1023.4619332251943,Actual,Predicted
2020-08-31,1037.4749755859375,1015.58105813311,Actual,Predicted
