date,y_test,y_pred
2020-06-23,837.4999999999999,842.9618569125702
2020-06-24,836.75,845.7285560914252
2020-06-25,842.5000000000001,842.3496694915416
2020-06-26,854.5750122070312,847.9617956837607
2020-06-29,853.7999877929688,856.6076048197672
2020-06-30,859.0,847.6398290596852
2020-07-01,842.0750122070312,843.4699446260561
2020-07-02,841.9749755859375,831.6427076736396
2020-07-03,844.2500000000001,841.1124144450342
2020-07-06,854.5250244140625,843.1631070123598
2020-07-07,844.4500122070314,849.6746355604291
2020-07-08,826.9000244140625,835.5453080775511
2020-07-09,830.0,829.3093458795369
2020-07-10,834.125,839.6125225631076
2020-07-13,838.0499877929688,841.0359483321025
2020-07-14,831.6500244140625,825.4162384743611
2020-07-15,833.2750244140625,834.6392056434678
2020-07-16,898.5250244140625,840.5766664303195
2020-07-17,921.8499755859376,920.7035452114159
2020-07-20,914.9000244140624,913.5932097568765
2020-07-21,895.4249877929688,904.3349314760736
2020-07-22,894.0000000000001,888.9259236047372
2020-07-23,899.9999999999999,890.8041108840839
2020-07-24,898.0000000000001,905.4586624343193
2020-07-27,893.4749755859376,891.3597166114557
2020-07-28,879.0,870.9966285061151
2020-07-29,893.875,874.8023849146504
2020-07-30,921.4999999999999,908.472308851556
2020-07-31,951.2999877929689,885.6419488254288
2020-08-03,1016.4500122070312,964.5932044468333
2020-08-04,998.4999999999999,963.7397863396737
2020-08-05,1010.0,1033.1116139099909
2020-08-06,1004.9999999999999,997.3572397392039
2020-08-07,999.3499755859375,1000.4075284763453
2020-08-10,1087.5,977.3771311820617
2020-08-11,1077.5250244140625,1080.8017160637237
2020-08-12,1016.6500244140624,1008.502185985495
2020-08-13,1019.4999999999999,1027.1586991447173
2020-08-14,1013.8750000000001,1013.2918926849825
2020-08-17,1021.5,1029.403209652909
2020-08-18,1034.0,1011.457042796895
2020-08-19,1016.7999877929688,1012.1588304992298
2020-08-20,1022.1749877929688,1021.6094003911984
2020-08-21,1023.7000122070312,1044.4720983279653
2020-08-24,1012.0750122070314,1006.3771274352122
2020-08-25,1047.4000244140625,1010.5085204350517
2020-08-26,1025.574951171875,1034.6529136479605
2020-08-27,1018.0,1008.9052331017713
2020-08-28,1014.0,1024.9229803466785
2020-08-31,1037.4749755859375,1012.1607268721444
2020-09-01,1026.0,962.6069443935281
2020-09-02,1033.0999755859375,1046.9669656662147
2020-09-03,1044.75,1037.697686674492
2020-09-04,1017.5,1039.399507863501
2020-09-07,1041.5,1039.2762629965162
2020-09-08,1023.0,1061.5691815919702
2020-09-09,1032.7750244140625,1014.1704877279764
2020-09-10,1034.925048828125,1054.3307819592296
2020-09-11,1028.425048828125,1023.1259586857594
2020-09-14,1084.0,1009.4571126030227
2020-09-15,1092.6500244140625,1118.2071135174847
2020-09-16,1117.6500244140625,1097.398459442353
2020-09-17,1117.9000244140625,1152.8584438186351
2020-09-18,1098.0,1092.4524507767128
2020-09-21,1088.5,1114.5186328659233
2020-09-22,1060.375,1069.9301392273521
2020-09-23,1072.9749755859375,1071.781633875568
2020-09-24,1056.5999755859375,1074.850584163041
2020-09-25,1064.9000244140625,1031.3088026679252
2020-09-28,1054.2249755859375,1055.8365631180607
2020-09-29,1087.9749755859375,1076.096318936321
2020-09-30,1095.0,1128.4565710009704
2020-10-01,1134.0,1118.363283188706
2020-10-05,1124.5,1147.7471827502095
2020-10-06,1084.824951171875,1096.5390316626267
2020-10-07,1092.949951171875,1075.9176891941256
2020-10-08,1074.8499755859375,1079.7314565648358
2020-10-09,1072.25,1058.4205285624885
2020-10-12,1067.7750244140625,1053.6963259557951
2020-10-13,1072.5,1070.8188245259687
2020-10-14,1077.5,1100.159707973032
2020-10-15,1056.5,1102.8690455470453
2020-10-16,1066.800048828125,1060.2364403155493
2020-10-19,1062.800048828125,1083.4040399845044
2020-10-20,1045.5,1056.3010222477974
2020-10-21,1040.5,1042.1008661103492
2020-10-22,1085.9000244140625,1048.8298113850894
2020-10-23,1098.0,1106.1572866037452
2020-10-26,1098.9000244140625,1092.535990972846
2020-10-27,1220.2249755859375,1076.2509860726304
2020-10-28,1227.7750244140625,1262.4755240554396
2020-10-29,1179.300048828125,1197.676303546701
2020-10-30,1188.449951171875,1191.8823341207712
2020-11-02,1217.9749755859375,1160.4876666672776
2020-11-03,1183.5999755859375,1182.0988941361275
2020-11-04,1197.5,1182.3162849393557
2020-11-05,1224.5,1198.7540652295872
2020-11-06,1207.5000000000002,1219.996881109389
2020-11-09,1183.949951171875,1228.9766091369484
2020-11-10,1140.0,1166.7691120890545
2020-11-11,1071.9000244140625,1065.7495672305308
2020-11-12,1049.925048828125,1051.0179205235413
2020-11-13,1058.5,1082.246514156721
2020-11-14,1049.949951171875,1072.05108951783
2020-11-17,1060.0,1091.2322705883241
2020-11-18,1076.0,1118.1412479105993
2020-11-19,1058.375,1124.820124154843
2020-11-20,1080.0,1074.9752398373312
2020-11-23,1139.4749755859375,1115.0296080432695
2020-11-24,1143.7750244140625,1152.7764929339485
2020-11-25,1123.5,1139.3025359257163
2020-11-26,1078.4749755859375,1073.0784490704514
2020-11-27,1137.5,1098.168737039421
2020-12-01,1148.5,1161.666219006848
2020-12-02,1139.5000000000002,1163.7528159271135
2020-12-03,1145.0,1161.959947911924
2020-12-04,1131.800048828125,1159.2597268662828
2020-12-07,1125.125,1162.3758276249187
2020-12-08,1139.0250244140625,1130.796174871006
2020-12-09,1137.5,1137.9714104383286
2020-12-10,1123.0,1128.3456599780138
2020-12-11,1129.324951171875,1116.562420362964
2020-12-14,1131.449951171875,1110.8503501509397
