date,y_test,y_pred
2020-06-23,4228.89990234375,4241.96063596656
2020-06-24,4123.0,4191.263758826452
2020-06-25,4230.10009765625,4182.85662595998
2020-06-26,4230.85009765625,4321.4861367462445
2020-06-29,4150.0,4206.095257538937
2020-06-30,4126.0498046875,4136.12469019434
2020-07-01,4095.0,4147.798655428182
2020-07-02,4095.0,4147.03827256129
2020-07-06,4311.0498046875,4135.293312058467
2020-07-07,4300.0,4345.638754913058
2020-07-08,4285.7998046875,4303.162787698115
2020-07-09,4230.0,4274.809399321572
2020-07-10,4199.0,4230.614993599764
2020-07-13,4158.0,4221.951092152146
2020-07-14,4125.0,4210.657527172442
2020-07-15,4086.0000000000005,4114.949024683697
2020-07-16,4152.0,4122.606801119431
2020-07-17,4147.0,4187.508259062375
2020-07-20,4181.9501953125,4191.4262087231045
2020-07-21,4174.35009765625,4204.136200914812
2020-07-22,4110.75,4151.187431245759
2020-07-23,4110.0,4103.396789914837
2020-07-24,4070.0000000000005,4111.055195472565
2020-07-27,4069.8000488281255,4083.722027371428
2020-07-28,4198.9501953125,4119.209663186066
2020-07-29,4244.5498046875,4282.191280584369
2020-07-30,4239.0,4243.300341802727
2020-07-31,4300.0,4225.240767449018
2020-08-03,4514.5,4236.854206884514
2020-08-04,4450.899902343749,4530.0674823058835
2020-08-05,4428.2001953125,4504.222481444586
2020-08-06,4435.89990234375,4513.625155547418
2020-08-07,4727.2001953125,4490.068782364845
2020-08-10,4855.0,4820.547893121933
2020-08-11,4620.0,4586.409779268786
2020-08-12,4780.0,4544.495424715263
2020-08-13,4850.0,4811.9059554835885
2020-08-14,4791.549804687499,4768.319477001029
2020-08-17,4755.549804687499,4760.889998011234
2020-08-18,4750.0,4770.9815709393415
2020-08-19,4850.0,4774.551741182048
2020-08-20,4920.0,4869.405453140597
2020-08-21,4795.14990234375,4838.958097164554
2020-08-24,4830.0,4773.145782746555
2020-08-25,4899.000000000001,4781.149534376091
2020-08-26,5095.0,4964.341966457983
2020-08-27,5148.9501953125,5144.163776243622
2020-08-28,5099.999999999999,5140.466615297836
2020-08-31,4999.85009765625,5028.038966562054
2020-09-01,4982.0,4866.230263160089
2020-09-02,5050.0,5064.224600287924
2020-09-03,5003.0,5037.993852315385
2020-09-04,4960.60009765625,5062.444314150343
2020-09-07,4840.14990234375,4911.942722119329
2020-09-08,4873.7998046875,4810.706080429184
2020-09-09,4839.60009765625,4864.044286798553
2020-09-10,4935.0,4876.840304036857
2020-09-11,4987.9501953125,4956.408322019932
2020-09-14,5464.75,5015.9872964422875
2020-09-15,5683.0,5425.432787350363
2020-09-16,5650.0,5818.192361518916
2020-09-17,5532.0,5537.482190333565
2020-09-18,5467.200195312501,5492.125380864618
2020-09-21,5344.89990234375,5402.7524277418825
2020-09-22,5164.5498046875,5282.791908902044
2020-09-23,5099.0,5115.676909487343
2020-09-24,4916.60009765625,5083.575097114566
2020-09-25,4949.10009765625,4926.010340562189
2020-09-28,5078.4501953125,4989.653501377108
2020-09-29,5220.0,5111.59600345684
2020-09-30,5078.89990234375,5100.323299225106
2020-10-01,5359.39990234375,5086.246156805592
2020-10-05,5444.0,5365.120645485381
2020-10-06,5388.35009765625,5396.022316215957
2020-10-07,5374.999999999999,5461.394624869906
2020-10-08,5476.700195312499,5482.731138317374
2020-10-09,5410.0,5486.817351723066
2020-10-12,5408.0,5468.973552943014
2020-10-13,5316.0,5375.314412011259
2020-10-14,5170.0,5217.480721990164
2020-10-15,5208.0,5188.5160983442975
2020-10-16,5130.14990234375,5174.22827304917
2020-10-19,5170.0,5158.661289054287
2020-10-20,5121.2998046875,5165.418563651166
2020-10-21,5154.85009765625,5157.140977491522
2020-10-22,5125.0,5152.6258176436
2020-10-23,5214.000000000001,5171.990535444801
2020-10-26,5099.64990234375,5129.807101588737
2020-10-27,5237.39990234375,5115.021590385658
2020-10-28,5350.0,5195.857261573934
2020-10-29,5235.0,5208.276492259224
2020-10-30,5270.9501953125,5262.873182202094
2020-11-02,5255.0,5243.653173873297
2020-11-03,5275.000000000001,5330.379044964234
2020-11-04,5249.999999999999,5327.176595724753
2020-11-05,5299.999999999999,5321.694680437166
2020-11-06,5335.9501953125,5375.371704281219
2020-11-09,5358.0,5395.312081612346
2020-11-10,5350.0,5348.546817904019
2020-11-11,5412.0,5388.604966762315
2020-11-12,5735.39990234375,5487.499401767585
2020-11-13,6039.0,5831.591191433323
2020-11-14,6163.950195312499,6150.753794798279
2020-11-17,6189.999999999999,6138.354499051889
2020-11-18,5950.0,6042.528355700933
2020-11-19,5909.999999999999,5965.083101824797
2020-11-20,6124.9501953125,5955.741028115002
2020-11-23,6446.39990234375,6188.645435027844
2020-11-24,6480.000000000001,6353.204058060378
2020-11-25,6440.5,6456.249118729031
2020-11-26,6470.000000000001,6484.162017881898
2020-11-27,6975.0,6419.606163668545
2020-12-01,7040.000000000001,7058.771131957357
2020-12-02,6850.0,6697.1028578990545
2020-12-03,6841.14990234375,6823.656780536182
2020-12-04,6925.14990234375,6850.66808450742
2020-12-07,6857.899902343749,6931.366984183812
2020-12-08,6800.0,6849.9773759996215
2020-12-09,6789.000000000001,6804.61130438992
2020-12-10,6756.299804687501,6736.349482495576
2020-12-11,6751.000000000001,6720.4682552980985
2020-12-14,6753.7998046875,6713.357854990359
2020-12-15,6710.0,6726.772216937216
2020-12-16,6845.0,6689.759400440246
2020-12-17,6888.0,6871.2143069134245
2020-12-18,7029.999999999999,6944.246943012206
2020-12-21,6898.0,6930.703789572336
2020-12-22,6776.14990234375,6670.608843057181
