date,y_test,y_pred
2020-06-23,4228.89990234375,4267.905130145106
2020-06-24,4123.0,4203.265064684501
2020-06-25,4230.10009765625,4172.596018491148
2020-06-26,4230.85009765625,4288.585659197985
2020-06-29,4150.0,4208.988392789749
2020-06-30,4126.0498046875,4102.6729261227565
2020-07-01,4095.0,4134.097924738658
2020-07-02,4095.0,4160.27671777997
2020-07-06,4311.0498046875,4122.717033904925
2020-07-07,4300.0,4354.136357342304
2020-07-08,4285.7998046875,4302.018061973176
2020-07-09,4230.0,4258.422491047791
2020-07-10,4199.0,4221.688002741231
2020-07-13,4158.0,4208.514948673769
2020-07-14,4125.0,4168.783887093851
2020-07-15,4086.0000000000005,4115.571229553011
2020-07-16,4152.0,4132.891069356867
2020-07-17,4147.0,4171.4556524404215
2020-07-20,4181.9501953125,4186.8208735211265
2020-07-21,4174.35009765625,4200.876248815316
2020-07-22,4110.75,4140.325124113765
2020-07-23,4110.0,4106.79920995235
2020-07-24,4070.0000000000005,4104.257530721687
2020-07-27,4069.8000488281255,4071.67887483315
2020-07-28,4198.9501953125,4105.7812521546
2020-07-29,4244.5498046875,4314.829310420154
2020-07-30,4239.0,4237.9757937058785
2020-07-31,4300.0,4208.757975271587
2020-08-03,4514.5,4233.332330474409
2020-08-04,4450.899902343749,4568.226486682254
2020-08-05,4428.2001953125,4535.329074153252
2020-08-06,4435.89990234375,4541.973989444499
2020-08-07,4727.2001953125,4512.075655567029
2020-08-10,4855.0,4827.40314638053
2020-08-11,4620.0,4619.40216331607
2020-08-12,4780.0,4617.97355187214
2020-08-13,4850.0,4809.2496264279325
2020-08-14,4791.549804687499,4785.050808663114
2020-08-17,4755.549804687499,4788.446881349884
2020-08-18,4750.0,4773.437685106809
2020-08-19,4850.0,4831.5221440341575
2020-08-20,4920.0,4888.253461998151
2020-08-21,4795.14990234375,4864.293462851502
2020-08-24,4830.0,4816.283749706632
2020-08-25,4899.000000000001,4803.748167471017
2020-08-26,5095.0,5010.696809684868
2020-08-27,5148.9501953125,5172.43564900898
2020-08-28,5099.999999999999,5145.130136587806
2020-08-31,4999.85009765625,5063.248864673675
2020-09-01,4982.0,4888.774566234277
2020-09-02,5050.0,5081.864518030817
2020-09-03,5003.0,5050.696780050084
2020-09-04,4960.60009765625,5070.4346959677005
2020-09-07,4840.14990234375,4927.155165417796
2020-09-08,4873.7998046875,4826.879277575194
2020-09-09,4839.60009765625,4896.746652017041
2020-09-10,4935.0,4931.642332862623
2020-09-11,4987.9501953125,5004.120076510125
2020-09-14,5464.75,5047.123435733482
2020-09-15,5683.0,5449.982713296448
2020-09-16,5650.0,5816.703068983415
2020-09-17,5532.0,5543.842039471516
2020-09-18,5467.200195312501,5488.999435915612
2020-09-21,5344.89990234375,5400.313822259206
2020-09-22,5164.5498046875,5285.213062097344
2020-09-23,5099.0,5138.620979681051
2020-09-24,4916.60009765625,5098.954207646716
2020-09-25,4949.10009765625,4979.685341820399
2020-09-28,5078.4501953125,5051.020929674649
2020-09-29,5220.0,5181.853768922795
2020-09-30,5078.89990234375,5141.5121178738145
2020-10-01,5359.39990234375,5106.373231005319
2020-10-05,5444.0,5404.749649103387
2020-10-06,5388.35009765625,5426.490163650872
2020-10-07,5374.999999999999,5488.23414149902
2020-10-08,5476.700195312499,5476.302818570759
2020-10-09,5410.0,5505.19262317903
2020-10-12,5408.0,5472.011162142413
2020-10-13,5316.0,5394.634630387182
2020-10-14,5170.0,5246.608080170344
2020-10-15,5208.0,5232.827463515489
2020-10-16,5130.14990234375,5186.766920247017
2020-10-19,5170.0,5196.401833652261
2020-10-20,5121.2998046875,5172.539013297958
2020-10-21,5154.85009765625,5204.079861075929
2020-10-22,5125.0,5188.460246191809
2020-10-23,5214.000000000001,5194.593042158511
2020-10-26,5099.64990234375,5145.197576735291
2020-10-27,5237.39990234375,5160.662714338466
2020-10-28,5350.0,5217.427570596143
2020-10-29,5235.0,5237.02468348692
2020-10-30,5270.9501953125,5313.088532762411
2020-11-02,5255.0,5261.657364768861
2020-11-03,5275.000000000001,5356.582706624323
2020-11-04,5249.999999999999,5378.360805802934
2020-11-05,5299.999999999999,5357.5528908206115
2020-11-06,5335.9501953125,5429.927556762255
2020-11-09,5358.0,5456.87993125244
2020-11-10,5350.0,5389.439116201303
2020-11-11,5412.0,5439.952542753374
2020-11-12,5735.39990234375,5519.9563537838085
2020-11-13,6039.0,5945.996590775844
2020-11-14,6163.950195312499,6225.621194118648
2020-11-17,6189.999999999999,6207.312830880742
2020-11-18,5950.0,6056.244437006563
2020-11-19,5909.999999999999,5965.398763524122
2020-11-20,6124.9501953125,5943.377768137228
2020-11-23,6446.39990234375,6172.4445685559895
2020-11-24,6480.000000000001,6346.213624061694
2020-11-25,6440.5,6417.882712186313
2020-11-26,6470.000000000001,6496.876240785867
2020-11-27,6975.0,6474.721974681494
2020-12-01,7040.000000000001,7110.131900444645
2020-12-02,6850.0,6805.897083556815
2020-12-03,6841.14990234375,6947.1032996480635
2020-12-04,6925.14990234375,6898.221020180024
2020-12-07,6857.899902343749,6983.9229684834245
2020-12-08,6800.0,6952.696306457136
2020-12-09,6789.000000000001,6874.519823613679
2020-12-10,6756.299804687501,6887.949957086313
2020-12-11,6751.000000000001,6810.737211421054
2020-12-14,6753.7998046875,6826.592382998972
2020-12-15,6710.0,6846.741061421209
2020-12-16,6845.0,6811.359789767024
2020-12-17,6888.0,7073.849133443096
2020-12-18,7029.999999999999,7088.457593515247
2020-12-21,6898.0,7036.670417105632
2020-12-22,6776.14990234375,6767.452246529484
