date,y_test,y_pred,label,predicted_label
2020-06-25,81.5,79.8446861081292,Actual,Predicted
2020-06-26,79.84999847412108,78.81657267209387,Actual,Predicted
2020-06-29,77.25,79.37147291374868,Actual,Predicted
2020-06-30,76.0,76.58894058279928,Actual,Predicted
2020-07-01,73.4749984741211,74.81918292455903,Actual,Predicted
2020-07-02,72.9000015258789,73.95852132794208,Actual,Predicted
2020-07-03,76.75,74.42688236953859,Actual,Predicted
2020-07-06,78.94999694824219,77.27093683317219,Actual,Predicted
2020-07-07,79.4000015258789,81.25259985102821,Actual,Predicted
2020-07-08,78.5,81.32641419968178,Actual,Predicted
2020-07-09,77.30000305175781,79.18519340016236,Actual,Predicted
2020-07-10,84.69999694824219,79.19061429551739,Actual,Predicted
2020-07-13,83.5,83.54733177427974,Actual,Predicted
2020-07-14,80.2249984741211,81.39320454387598,Actual,Predicted
2020-07-15,80.5999984741211,80.01143645445512,Actual,Predicted
2020-07-16,79.2750015258789,82.42791566977729,Actual,Predicted
2020-07-17,79.17500305175781,81.24456019350959,Actual,Predicted
2020-07-20,81.5,82.29908860894103,Actual,Predicted
2020-07-21,86.94999694824217,84.41716691332832,Actual,Predicted
2020-07-22,86.32499694824217,88.6464031365347,Actual,Predicted
2020-07-23,85.99999999999999,89.00514213862172,Actual,Predicted
2020-07-24,85.0,87.4873371355645,Actual,Predicted
2020-07-27,83.0999984741211,87.38313029150957,Actual,Predicted
2020-07-28,83.4000015258789,85.86157110504418,Actual,Predicted
2020-07-29,83.17500305175783,86.20478200651445,Actual,Predicted
2020-07-30,82.5999984741211,86.45879523792101,Actual,Predicted
2020-07-31,80.17500305175781,84.59992956339394,Actual,Predicted
2020-08-03,82.57499694824219,83.88642215313543,Actual,Predicted
2020-08-04,83.7249984741211,86.14862352668705,Actual,Predicted
2020-08-05,86.25000000000001,87.49446501572255,Actual,Predicted
2020-08-06,85.57499694824219,89.08781229086146,Actual,Predicted
2020-08-07,85.4000015258789,89.45103658701237,Actual,Predicted
2020-08-10,87.5,88.86218985740646,Actual,Predicted
2020-08-11,90.0,91.53538265337865,Actual,Predicted
2020-08-12,96.9250030517578,92.3919720524675,Actual,Predicted
2020-08-13,109.5,100.31818366497814,Actual,Predicted
2020-08-14,128.4499969482422,112.13385249295344,Actual,Predicted
2020-08-17,122.9499969482422,126.74581955032632,Actual,Predicted
2020-08-18,122.92500305175781,123.62857252769655,Actual,Predicted
2020-08-19,120.9499969482422,124.51348735333906,Actual,Predicted
2020-08-20,116.49999999999999,119.70078206787346,Actual,Predicted
2020-08-21,115.9000015258789,117.37709706500812,Actual,Predicted
2020-08-24,115.25,118.15490583212403,Actual,Predicted
2020-08-25,114.1999969482422,119.23363453158291,Actual,Predicted
2020-08-26,113.90000152587892,117.27737471354801,Actual,Predicted
2020-08-27,114.99999999999999,117.97616184694581,Actual,Predicted
2020-08-28,115.6750030517578,118.84358508789407,Actual,Predicted
2020-08-31,115.0,118.80126663359106,Actual,Predicted
2020-09-01,111.92500305175778,114.96952111562864,Actual,Predicted
2020-09-02,112.4499969482422,114.90569982114575,Actual,Predicted
2020-09-03,114.0,114.93647739047563,Actual,Predicted
2020-09-04,111.4749984741211,116.94626471850216,Actual,Predicted
2020-09-07,109.5500030517578,113.91688014229621,Actual,Predicted
2020-09-08,110.9000015258789,113.1553990116088,Actual,Predicted
2020-09-09,108.3249969482422,112.66429210565812,Actual,Predicted
2020-09-10,110.875,111.9799328825502,Actual,Predicted
2020-09-11,115.50000000000001,115.06589269971668,Actual,Predicted
2020-09-14,118.67500305175778,118.46228767231342,Actual,Predicted
2020-09-15,118.8000030517578,123.09737100202382,Actual,Predicted
2020-09-16,120.82499694824219,124.00399332665222,Actual,Predicted
2020-09-17,120.0,124.89192332187706,Actual,Predicted
2020-09-18,120.27500152587889,125.64455007141935,Actual,Predicted
2020-09-21,128.72500610351562,126.01732570733034,Actual,Predicted
2020-09-22,129.0749969482422,131.96917856265077,Actual,Predicted
2020-09-23,127.4749984741211,128.4790588053952,Actual,Predicted
2020-09-24,134.0500030517578,127.88021292347483,Actual,Predicted
2020-09-25,128.9499969482422,129.36325586091058,Actual,Predicted
2020-09-28,125.3000030517578,128.9714883256678,Actual,Predicted
2020-09-29,127.0,126.47350641919523,Actual,Predicted
2020-09-30,121.9000015258789,123.47144970227129,Actual,Predicted
2020-10-01,121.9000015258789,125.69313229707666,Actual,Predicted
2020-10-05,122.99999999999999,124.57727897173872,Actual,Predicted
2020-10-06,123.84999847412111,125.54874384193728,Actual,Predicted
2020-10-07,121.4000015258789,122.67605977334183,Actual,Predicted
2020-10-08,120.5,125.66909867149998,Actual,Predicted
2020-10-09,117.9000015258789,123.63396671865571,Actual,Predicted
2020-10-12,116.0,118.13517192007863,Actual,Predicted
2020-10-13,113.25,112.45251907755811,Actual,Predicted
2020-10-14,119.9000015258789,116.85510563737498,Actual,Predicted
2020-10-15,111.5,117.22999898191054,Actual,Predicted
2020-10-16,111.5,112.16515559867997,Actual,Predicted
2020-10-19,113.5,115.1029092334407,Actual,Predicted
2020-10-20,112.05000305175778,116.38867523736951,Actual,Predicted
2020-10-21,111.8499984741211,114.63304991967429,Actual,Predicted
2020-10-22,111.80000305175778,116.07479177230346,Actual,Predicted
2020-10-23,111.5500030517578,114.56653477387405,Actual,Predicted
2020-10-26,111.5500030517578,115.8988811704096,Actual,Predicted
2020-10-27,108.0,114.2340719244703,Actual,Predicted
2020-10-28,108.3000030517578,109.99704503004675,Actual,Predicted
